name,lat,lon,population
Loo Biyeng,2.959609,11.123263,2500
Abiete Yendjock,2.735459,11.503201,2500
Ebolakounou,3.936575,12.435141,2500
Patadje,9.256558,13.962608,2500
Nkolondom,3.98254,11.480753,2500
Matanda Massadi,3.941687,9.646026,2500
Léta,4.250979,14.004052,2500
Betenge,4.833074,9.229634,2500
Ngombas I,3.582647,11.159261,2500
Assok,3.683416,11.829357,2500
Okoyong,5.725496,9.35065,2500
Beguele,10.599092,14.177612,2500
Nsaké Ndoundak,4.374115,10.011401,2500
Ababendoman,2.497113,11.545978,2500
Mbe,5.826965,11.373786,2500
Makoupa,6.08452,11.192833,2500
Mimbang,4.61059,13.120239,2500
Munken,6.595237,10.224082,2500
Mbiami,6.189301,10.873163,2500
Bwanenbwa,4.796577,9.860059,2500
Ba,5.063507,11.095825,2500
Pri,10.07375,13.734972,2500
Nyakengeng,5.057521,11.383123,2500
Nengoang,4.630561,11.288795,2500
Lamendoum,3.413125,14.511585,2500
Nkoloveng,3.507318,11.668411,2500
Akina,2.51657,11.072834,2500
Miangwe II,5.06649,9.003972,2500
Bangli,9.24737,13.20375,2500
Balaza_lawane,10.68841,14.44658,2500
Lagdo 2,9.05924,13.65549,2500
Talangaye,5.629372,9.311844,2500
Ndoumba II,4.908914,13.25235,2500
Ngat,3.091716,12.246347,2500
Mbouldi,6.876321,14.76286,2500
Bongol,4.741102,11.060102,2500
Konpatwa,4.322115,13.507741,2500
Essazok II,3.687185,11.515667,2500
Mayo Sahel Ouro,9.520793,13.277774,2500
ouro-mo-ou,9.674382,13.366194,2500
Ngouong,4.271725,12.819754,2500
ngaoui,6.975548,11.995275,2500
Djagba,8.376444,13.706667,2500
Djiongwo,5.291649,10.506109,2500
Mekok,2.510245,10.851963,2500
Maloua,5.243513,10.833474,2500
Ouro Ardo,9.257746,13.275296,2500
Liyinn,4.893863,11.081409,2500
Malambali,8.05653,15.13673,2500
Elah,4.180581,11.203652,2500
Mongobia,4.070191,14.486655,2500
