name,lat,lon,region,division,subdivision
Centre Medical Sainte Victoire,3.901302,11.562337,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Medical Social,3.879349,11.528909,Centre,Mfoundi,YaoundÃ© I
Centre Medical St Michel,3.997211,9.764955,Littoral,Wouri,Douala III
Centre Medical Universitaire,5.438435,10.068527,West,Menoua,Dschang
Centre Medical d'Arrondissement,3.863323,11.486846,Centre,Mfoundi,YaoundÃ© VI
Centre Medical d'Arrondissement,4.019497,9.732263,Littoral,Wouri,Douala III
Centre Medical d'Arrondissement de Lafe Baleng,5.507928,10.393811,West,Mifi,Bafoussam III
Centre Medical de Bamendjin,5.701256,10.486555,West,Bamboutos,Galim
Centre Medical de TYO-Ville,5.48778,10.409151,West,Mifi,Bafoussam II
Centre Medical la Trinite,5.50168,10.392178,West,Mifi,Bafoussam III
Centre Medico Social Horizon 2035,3.996153,9.764539,Littoral,Wouri,Douala III
Centre Medico Social La Gloire,3.878542,11.420382,Centre,Lekie,YaoundÃ© VII
Centre Medico Social Sarepta,9.314975,13.374598,North,Benoue,Garoua I
Centre Medico Sociale De La Caisse Garoua,9.303476,13.392391,North,Benoue,Garoua I
Centre Medico-Social,3.858109,11.504298,Centre,Mfoundi,YaoundÃ© III
Centre Medico-Social Cité SIC,4.052335,9.731091,Littoral,Wouri,Douala V
Centre Médica l,3.846444,11.494476,Centre,Mfoundi,YaoundÃ© III
Centre Médical,4.016827,9.706009,Littoral,Wouri,Douala II
Centre Médical,4.018561,9.704877,Littoral,Wouri,Douala II
Centre Médical,4.039198,9.713117,Littoral,Wouri,Douala II
Centre Médical,4.0726,9.669358,Littoral,Wouri,Douala IV
Centre Médical,4.077349,9.666147,Littoral,Wouri,Douala IV
Centre Médical,4.089595,9.669914,Littoral,Wouri,Douala IV
Centre Médical,3.864912,11.541014,Centre,Mfoundi,YaoundÃ© IV
Centre Médical,3.859156,11.547742,Centre,Mfoundi,YaoundÃ© IV
Centre Médical,3.845584,11.546286,Centre,Mfoundi,YaoundÃ© IV
Centre Médical Ange David,3.90172,11.560739,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Médical Ashyvic,3.86192,11.529703,Centre,Mfoundi,YaoundÃ© V
Centre Médical Assisté,3.826982,11.477937,Centre,Mfoundi,YaoundÃ© III
Centre Médical Au Bois D'amour,3.876585,11.548978,Centre,Mfoundi,YaoundÃ© V
Centre Médical Bethel,9.324234,13.411476,North,Benoue,Garoua II
Centre Médical Camrail,4.044982,9.725641,Littoral,Wouri,Douala III
Centre Médical D'arrondissement D'oyom-abam,3.88907,11.472826,Centre,Lekie,YaoundÃ© VII
Centre Médical D'arrondissement De Lainde,9.347511,13.41472,North,Benoue,Garoua II
Centre Médical De Secteur,2.923535,11.171009,South,Mvila,Ebolowa II
Centre Médical Ebolowa Camprevent,2.929078,11.152159,South,Mvila,Ebolowa II
Centre Médical Espoir Solidarité,3.87399,11.546363,Centre,Mfoundi,YaoundÃ© V
Centre Médical Fm Santé,3.878124,11.471923,Centre,Lekie,YaoundÃ© VII
Centre Médical Jésus Sauve Et Guéri,9.32857,13.410365,North,Benoue,Garoua II
Centre Médical La Référence,4.002862,9.756414,Littoral,Wouri,Douala III
Centre Médical Lamat Centre Cadio Vasculaire,3.885698,11.536791,Centre,Mfoundi,YaoundÃ© V
Centre Médical Le Bon Berger,2.921139,11.163444,South,Mvila,Ebolowa II
Centre Médical Le Jourdain,3.882178,11.516104,Centre,Mfoundi,YaoundÃ© I
Centre Médical Miséricorde Divine,3.862746,11.503648,Centre,Mfoundi,YaoundÃ© VI
Centre Médical PK13,4.073544,9.792456,Littoral,Wouri,Douala III
Centre Médical Saint Jacques de Minkama,4.173769,11.541381,Centre,Lekie,Obala
Centre Médical Saint Luc De Ngousso,3.899328,11.551756,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Médical Sainte Victoire,3.901404,11.562168,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Médical d'Arrondissement,3.800684,11.504468,Centre,Mfoundi,YaoundÃ© III
Centre Médical d'Arrondissement Yaoundé I Olembe,3.946375,11.522111,Centre,Lekie,YaoundÃ© I
Centre Médical d'Arrondissement de Bonamoussadi,4.091781,9.740498,Littoral,Wouri,Douala V
